"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
"1",4,2,28,32,83,4,42,26,14,22,11,10,28,11,26,6,103,23,25,13,27,85,11,24,81,11,43,37,42,9,17,26,4,16,28,88,27,4,3,13,27,76,4,15,10,17,19,5,1,50,35,5,4,125,46,305,32,34,32,98,11,85,3,26,25,2,7,14,94,1,109,19,27,4,13,25,34,47,4,3,3,100,9,11,3,26,16,40,103,46,47,8,107,3,11,3,40,12,85,10,33
"2",5,3,28,33,85,5,43,28,14,23,11,11,29,11,27,7,105,24,26,13,28,87,12,25,82,12,43,37,43,10,17,27,5,17,28,90,28,5,3,13,28,78,5,16,11,18,19,5,2,50,36,6,5,134,47,306,33,35,33,100,11,86,4,27,26,3,8,15,96,2,111,20,28,5,13,26,35,47,5,4,4,102,10,12,4,27,17,40,105,47,47,9,108,3,12,4,41,12,87,11,34
"3",5,3,29,34,92,5,43,33,15,23,12,11,30,12,28,8,112,25,27,14,28,94,12,25,84,13,44,38,43,11,18,27,5,18,29,97,28,5,4,14,28,79,5,17,11,19,20,6,2,51,36,7,5,154,47,314,34,35,34,108,12,86,4,27,27,4,9,16,102,2,117,20,28,6,14,27,36,48,5,4,4,108,10,12,5,28,17,41,113,47,48,10,116,4,12,4,41,13,94,12,36
"4",6,4,30,35,100,6,44,40,16,24,13,12,30,13,34,9,122,25,28,15,32,102,13,26,90,14,45,39,44,12,19,28,6,19,30,111,29,6,5,15,29,87,6,17,12,20,21,7,3,52,37,8,6,196,54,327,35,36,34,122,13,93,5,28,28,5,9,16,110,3,128,21,29,6,15,28,37,49,6,5,5,116,11,13,6,28,18,42,126,54,55,10,130,5,13,5,42,14,102,13,38
"5",7,5,30,35,113,7,46,56,16,25,13,13,31,13,42,9,138,26,28,15,40,115,14,27,99,14,46,39,45,12,19,29,7,19,30,130,35,7,5,15,34,96,7,18,13,20,21,7,4,53,38,8,7,270,62,342,35,37,35,144,13,101,6,29,28,5,10,17,124,4,144,22,35,7,15,28,37,49,7,6,6,132,12,14,6,29,19,43,145,62,62,11,150,5,14,6,43,14,115,13,43
"6",7,5,31,36,123,8,46,71,17,25,14,14,32,14,50,10,149,27,29,16,47,125,14,28,107,15,47,40,45,13,20,30,7,20,31,146,38,7,6,16,35,104,7,19,14,21,22,8,4,54,38,9,7,339,69,354,36,38,36,162,14,108,6,30,29,6,11,18,133,4,155,23,38,8,16,29,38,50,7,6,6,142,13,14,7,30,20,44,160,70,70,12,167,6,14,7,44,15,125,14,46
