"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
"1",6,2,12,4,1,1,2,6,1,3,11,3,1,1,2,8,2,460,2,2,10,9,1,2,4,1,3,948,2,2,9,10,8,2,5,4,1,4,7,21,2,1,1,3,9,2,16,2,17,2,3,2,11,7,8,2,7,7,4,2,437,35,1,12,7,2,2,56,21,3,1,13,1,63,4,2,11,2,6,90,1,1,1,6,3,4,5,2,1,2,2,2,1,1,2,2,8,2,3,2,25
"2",7,3,13,4,2,2,3,7,2,4,11,4,2,2,3,8,3,461,3,3,11,10,2,3,4,2,4,1004,3,3,9,10,9,3,6,4,2,4,8,22,3,2,2,4,10,3,17,3,17,3,4,3,11,7,9,3,7,7,5,3,495,36,2,13,8,3,2,56,21,4,2,14,2,64,4,3,12,3,6,99,2,2,2,7,4,5,5,3,2,3,3,3,2,2,2,3,9,3,4,3,27
"3",7,4,14,5,2,2,4,8,2,5,12,5,2,2,4,9,4,468,3,4,12,11,2,4,5,2,4,1065,4,4,10,11,10,4,7,5,2,5,9,22,4,2,3,4,10,3,17,4,18,4,5,4,12,8,10,4,8,8,5,4,559,37,2,14,8,4,3,57,22,5,2,15,2,64,5,4,12,3,7,111,2,3,2,7,4,6,6,3,3,3,4,4,2,2,3,4,9,4,5,4,29
"4",8,4,15,6,3,3,4,8,3,5,13,5,3,3,4,10,4,479,4,4,13,11,3,4,6,3,5,1129,4,4,11,12,10,4,8,6,3,6,9,23,4,3,4,5,11,4,18,4,19,5,5,4,13,9,10,4,9,9,6,4,633,38,3,14,9,4,4,64,23,6,3,16,3,65,6,4,13,4,8,135,3,4,3,8,5,6,7,4,4,4,5,5,3,3,4,4,10,5,5,5,32
"5",9,5,15,6,4,4,5,9,4,6,13,6,4,4,5,10,5,494,5,5,13,12,4,5,6,4,6,1197,5,5,11,12,11,5,8,6,4,6,10,24,5,4,4,6,12,5,19,5,19,5,6,5,13,9,11,5,9,9,7,5,716,38,4,15,10,5,4,71,23,6,4,16,4,66,6,5,14,5,8,174,4,4,4,9,6,7,7,5,4,5,5,5,4,4,4,5,11,5,6,5,34
"6",10,6,16,7,4,4,6,10,4,7,14,7,4,4,6,11,6,504,5,6,14,13,4,6,7,4,6,1268,6,6,12,13,12,6,9,7,4,7,11,25,6,4,5,6,12,5,19,6,20,6,7,6,14,10,12,6,10,10,7,6,810,39,4,16,10,6,5,79,24,7,4,17,4,66,7,6,15,5,9,208,4,5,4,10,6,8,8,5,5,5,6,6,4,4,5,6,11,6,7,6,37
