"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
"1",39,91,20,84,139,62,91,19,52,95,102,119,23,16,53,13,26,140,22,153,14,93,63,39,73,15,16,83,20,16,47,75,95,59,190,68,50,46,16,31,22,34,271,242,15,13,28,92,25,99,34,39,77,101,21,105,4,75,114,95,2,7,6,69,62,39,35,40,26,38,271,24,15,48,83,6,95,55,17,17,2,99,41,30,34,10,810,14,69,37,69,142,15,6,53,1,128,51,73,20,66
"2",40,92,20,85,141,63,92,19,53,95,103,119,23,17,54,14,27,140,23,154,15,94,64,40,74,16,16,85,20,17,48,76,95,59,192,68,51,47,17,32,23,35,272,251,16,14,29,93,25,100,35,40,77,102,22,106,4,76,115,95,3,7,7,70,63,40,36,40,27,39,272,25,16,49,84,7,95,56,17,17,3,100,42,31,35,11,875,14,69,37,70,143,16,7,54,2,128,52,74,21,68
"3",41,93,21,86,144,64,93,20,53,96,104,120,24,17,54,14,28,142,24,155,16,94,64,41,74,16,17,89,21,17,48,77,96,60,200,69,52,47,18,33,23,35,273,261,17,15,30,94,26,100,36,40,78,104,23,113,5,77,116,96,4,8,8,71,63,41,37,41,28,40,273,25,17,50,84,8,96,57,18,18,3,101,43,32,35,11,1006,15,70,38,71,144,17,8,54,2,129,52,75,21,70
"4",41,99,22,86,152,64,93,21,54,97,105,127,25,18,55,15,29,149,24,155,16,95,65,41,75,17,18,97,22,18,49,77,97,61,214,70,53,48,18,33,24,36,280,282,18,16,31,94,27,101,36,41,79,111,24,121,6,78,123,97,4,9,9,72,64,42,38,42,29,41,280,26,18,51,85,8,97,58,19,19,4,108,44,32,36,12,1315,16,71,39,74,151,18,9,55,3,136,53,75,22,75
"5",42,107,22,90,162,65,96,21,55,102,105,134,25,19,56,16,29,156,25,156,17,98,66,42,76,18,18,109,28,19,50,78,102,61,232,71,53,49,19,34,25,37,287,312,18,16,31,98,27,108,37,42,79,118,24,134,6,78,131,102,5,9,9,77,65,42,38,42,29,41,287,27,18,51,86,9,102,58,19,19,5,115,44,33,37,13,1903,16,71,39,82,159,18,9,56,4,143,54,76,23,84
"6",43,114,23,91,169,66,97,22,55,104,106,142,26,20,57,17,30,164,26,157,18,98,67,43,76,19,19,117,31,20,51,79,104,62,246,72,54,49,20,35,25,38,294,334,19,17,32,99,28,110,38,42,80,126,25,144,7,79,138,104,6,10,10,78,65,43,39,43,30,42,294,28,19,52,87,10,104,59,20,20,5,122,45,34,37,13,2455,17,72,40,86,166,19,10,57,4,151,55,77,24,91
