"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
"1",99,46,9,170,43,1,6,9,17,22,27,54,57,40,82,30,20,59,27,3,24,36,2,10,13,12,5,83,3,6,65,8,12,4,100,4,37,33,9,3,41,48,130,2,90,273,25,33,47,28,54,26,18,25,23,53,26,39,96,20,34,38,1,6,7,160,40,6,55,181,25,2,25,20,12,9,11,33,40,34,46,7,5,13,54,181,37,8,11,11,89,68,12,1,35,19,13,111,56,29,39
"2",100,47,9,171,43,2,7,9,18,23,28,56,58,41,83,31,21,60,28,4,25,36,3,11,14,13,6,85,4,7,65,9,13,5,101,5,38,34,9,4,42,49,132,2,91,274,26,34,48,29,55,27,18,26,23,62,27,39,97,21,35,38,2,7,8,169,41,7,56,184,26,3,25,21,13,9,12,34,41,35,47,8,6,14,55,185,38,8,11,12,90,69,13,2,36,20,14,112,57,30,40
"3",101,48,10,171,44,2,8,10,18,24,29,60,59,41,83,31,21,60,29,5,26,37,4,11,15,13,7,90,5,8,66,9,14,6,101,6,38,34,10,5,43,50,135,3,92,274,26,34,48,30,55,27,19,27,24,73,28,40,98,21,36,39,3,8,9,179,42,8,57,192,27,4,26,21,14,10,12,34,41,36,47,8,7,15,55,194,38,9,12,12,91,69,14,2,36,20,15,113,58,31,42
"4",107,49,11,172,45,3,8,11,19,25,30,68,60,42,84,32,22,61,29,5,26,38,4,12,15,14,7,97,5,8,67,10,14,6,108,7,39,35,11,5,43,53,143,4,100,275,27,35,49,31,56,28,20,28,25,103,28,41,105,22,37,40,4,9,10,200,43,9,60,206,28,5,27,22,14,11,13,35,42,36,48,9,7,15,56,211,39,10,13,13,94,70,14,3,37,21,15,119,58,32,44
"5",115,50,11,173,45,4,9,11,20,25,30,82,60,43,85,33,23,66,30,6,27,39,5,13,16,15,8,110,6,9,69,11,15,7,116,7,40,37,11,6,45,61,153,4,109,276,28,37,50,31,57,29,20,28,25,164,29,41,112,23,37,40,4,9,10,234,44,9,68,225,28,5,27,23,15,11,14,37,43,37,56,10,8,16,57,234,45,10,13,14,102,71,15,4,38,22,16,127,64,32,47
"6",123,51,12,174,46,4,10,12,20,26,31,92,61,44,85,34,24,66,31,7,28,40,6,14,17,16,9,120,7,10,70,11,16,8,123,8,41,37,12,7,46,66,160,5,117,277,28,37,51,32,57,29,21,29,26,227,30,42,119,23,38,41,5,10,11,259,45,10,72,241,29,6,28,23,16,12,14,37,43,38,60,11,9,17,58,252,46,11,14,14,106,71,16,4,39,22,17,135,66,33,49
