"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
"1",36,59,103,77,11,11,31,3,19,38,77,16,59,40,2,11,86,112,11,6,14,110,4,10,21,28,14,41,74,14,23,71,17,63,37,4,15,32,93,93,95,82,4,15,38,21,3,70,23,5,5,46,91,15,30,56,93,22,52,4,64,41,2,73,79,60,7,11,5,22,22,2,156,34,32,4,16,17,36,18,41,84,10,75,81,20,36,156,34,206,4,24,44,4,41,35,32,2,77,36,41
"2",37,60,104,78,12,12,32,4,19,39,78,17,60,41,3,12,87,113,12,7,14,110,4,10,22,29,15,42,75,15,24,72,18,63,37,4,16,32,93,93,96,82,4,16,39,22,4,71,24,5,6,47,91,16,31,57,93,22,52,4,65,42,3,73,80,61,8,12,6,22,22,3,158,35,33,4,17,17,37,19,42,84,11,76,82,21,37,158,34,206,5,25,45,5,42,36,33,3,78,37,42
"3",38,60,105,79,13,12,32,5,20,40,79,18,61,41,4,13,87,113,12,8,15,111,5,11,23,30,16,42,75,16,24,73,19,64,38,5,17,33,94,94,97,83,5,16,40,22,4,72,24,6,7,48,92,17,32,57,94,23,53,5,65,43,4,74,81,62,9,13,6,23,23,4,165,36,34,5,17,18,38,20,43,85,11,76,84,22,38,165,35,207,5,25,45,5,42,37,34,4,79,38,43
"4",39,61,112,80,13,13,33,5,21,40,80,18,61,42,4,14,88,120,13,8,16,112,6,12,23,31,16,43,76,16,25,74,19,65,39,6,18,34,101,101,98,84,6,17,40,23,5,75,25,7,7,48,97,17,32,58,101,24,54,6,66,43,5,75,82,63,10,14,7,24,24,4,172,37,34,6,18,19,39,21,43,86,12,77,92,22,39,172,36,208,6,26,46,6,43,37,34,4,80,39,44
"5",39,62,119,81,14,14,34,6,21,41,81,19,62,43,5,14,95,128,14,9,16,117,6,12,24,31,17,44,78,17,26,74,20,65,39,6,18,34,108,108,98,86,6,18,41,24,6,83,26,7,8,49,104,18,33,59,108,24,54,6,67,44,5,78,84,63,10,14,8,24,24,5,187,37,36,6,19,19,39,21,44,91,13,84,100,23,39,187,37,208,7,27,47,7,44,38,35,5,81,39,46
"6",40,62,127,82,15,14,35,7,22,42,82,20,63,43,6,15,98,135,14,10,17,118,7,13,25,32,18,45,79,18,26,75,21,66,40,7,19,35,116,116,99,87,7,19,42,24,6,87,26,8,9,50,108,19,34,59,116,25,55,7,68,45,6,79,85,64,11,15,9,25,25,6,197,38,37,7,19,20,40,22,45,93,14,87,108,24,40,197,38,209,7,27,47,8,44,39,36,6,82,40,47
