"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
"1",21,3,110,35,16,23,21,145,13,47,126,66,18,4,94,153,77,70,8,126,89,159,106,2,82,3,19,218,17,44,2,1,42,44,21,4,159,3,6,106,11,60,6,24,52,13,229,21,2,218,5,24,110,2,2,6,3,9,35,6,6,3,3,91,104,134,12,9,146,2,123,14,5,21,131,42,147,126,21,16,154,117,19,13,7,8,21,12,31,7,161,24,5,3,512,42,9,75,38,32,56
"2",22,4,111,35,16,23,22,150,14,48,128,67,19,5,95,155,77,71,9,127,90,161,107,3,83,4,20,222,18,45,2,2,42,45,22,5,161,4,7,107,12,61,7,25,53,14,234,22,3,222,6,25,111,3,2,7,4,10,36,7,7,4,4,92,105,136,13,10,148,3,124,15,5,22,132,42,149,127,22,17,156,118,20,14,8,9,22,13,32,8,163,25,5,4,535,43,9,76,39,32,57
"3",23,5,112,36,17,24,23,159,15,49,135,68,19,6,96,163,78,71,9,129,91,165,108,4,83,4,20,229,19,48,3,3,43,45,23,6,165,4,7,108,12,62,7,26,53,14,242,23,4,229,7,25,112,4,3,7,4,11,37,7,8,5,4,92,106,140,13,10,156,3,125,15,6,23,134,43,156,129,23,17,163,118,21,14,8,9,22,13,32,8,169,26,6,5,582,44,10,77,39,33,59
"4",23,5,118,43,18,25,24,178,15,49,145,69,20,6,96,176,79,72,10,137,95,173,113,5,84,5,21,243,20,56,4,4,44,46,23,7,173,5,8,114,13,62,8,27,54,15,259,23,4,243,7,26,118,5,4,8,5,12,37,8,9,5,5,96,109,148,14,11,169,4,126,16,7,23,142,44,168,137,23,18,177,119,22,15,9,10,23,14,33,9,181,27,7,5,681,45,11,84,40,34,63
"5",24,6,126,50,18,25,24,205,16,50,161,69,21,7,102,195,79,78,11,145,102,186,120,5,88,6,22,266,20,68,4,4,44,47,24,7,186,6,9,122,14,63,9,27,55,16,286,24,5,266,8,27,126,5,4,9,6,12,38,9,9,6,6,104,117,161,15,12,187,5,126,17,7,24,150,44,183,145,24,19,197,120,22,16,10,11,24,15,34,10,197,27,7,6,843,45,11,93,41,34,69
"6",25,7,133,58,19,26,25,228,17,51,172,70,21,8,105,209,80,80,11,153,105,195,124,6,89,7,22,283,21,78,5,5,45,48,25,8,195,7,10,130,14,64,10,28,56,17,305,25,6,283,9,28,133,6,5,10,7,13,39,10,10,7,6,108,120,169,16,12,201,6,127,17,8,25,158,45,196,153,25,20,213,120,23,17,10,11,24,15,35,10,210,28,8,7,979,46,12,100,42,35,73
