"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
"1",99,32,98,44,16,5,3,69,24,99,174,94,4,6,9,26,3,1,16,48,41,46,36,8,20,11,114,89,38,3,6,47,23,29,7,73,94,89,23,82,1,118,26,24,106,8,36,99,5,38,87,9,74,43,9,17,82,5,1,59,9,1,3,24,38,11,18,9,12,99,177,11,82,43,80,46,103,9,23,30,13,122,1,3,94,29,9,30,21,14,86,37,177,5,4,54,74,304,69,20,46
"2",100,32,99,45,17,5,4,70,25,100,179,94,5,6,9,27,4,2,17,49,42,47,37,9,20,11,115,90,39,4,6,48,24,29,8,73,96,90,24,83,2,120,27,25,106,9,37,100,6,39,87,10,75,44,10,18,83,6,2,59,10,2,4,25,39,11,19,9,12,100,179,12,83,44,80,47,104,9,24,31,14,123,2,4,96,29,10,30,22,15,88,38,179,6,5,55,75,322,71,21,47
"3",101,33,103,45,17,6,5,71,26,101,187,95,5,7,10,27,5,3,17,49,43,48,38,9,21,12,115,90,40,4,7,48,24,30,8,74,102,90,24,83,3,128,27,26,107,9,38,101,6,39,88,11,76,44,10,18,83,6,2,60,11,2,5,25,40,12,20,10,13,101,184,12,83,45,81,48,105,10,24,32,14,123,2,5,102,30,10,31,22,16,90,38,184,7,6,55,75,353,75,21,48
"4",108,34,111,46,18,7,5,76,26,108,206,96,6,8,11,28,5,4,18,50,43,48,39,10,22,13,122,97,41,5,8,49,25,31,9,75,110,97,25,90,4,142,28,27,108,10,38,108,7,40,89,12,80,45,11,19,90,7,3,61,12,3,5,26,41,13,20,11,14,108,191,13,84,45,82,48,113,11,25,32,15,124,3,6,110,31,11,32,23,16,98,39,191,7,6,56,82,421,83,22,51
"5",116,34,120,47,19,7,6,84,27,116,234,96,7,8,11,29,6,4,19,51,44,49,41,11,22,13,130,105,41,6,8,50,26,31,10,80,125,105,26,98,4,162,29,27,108,11,39,116,8,41,89,12,88,46,12,20,98,8,4,61,12,4,6,27,43,13,21,11,14,116,201,14,85,46,82,49,122,11,26,33,16,128,4,6,125,31,12,32,24,17,106,40,201,8,7,57,90,534,96,23,55
"6",123,35,128,48,20,8,7,91,28,123,255,97,7,9,12,29,7,5,19,52,45,50,42,11,23,14,138,113,42,7,9,51,26,32,11,82,135,113,26,106,5,179,30,28,109,12,40,123,9,42,90,13,94,47,13,20,106,9,4,62,13,4,7,27,44,14,22,12,15,123,209,15,85,47,83,50,129,12,26,34,16,128,4,7,135,32,12,33,25,18,114,40,209,9,8,58,96,629,105,23,59
