"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
"1",3,60,38,76,36,10,12,12,29,36,7,13,1,3,8,4,30,93,38,14,26,38,74,141,12,1,6,1,2,37,4,218,41,3,1079,5,42,15,12,25,16,47,26,38,19,16,30,5,13,33,21,60,16,33,3,5,11,19,1,38,39,11,1,37,4,7,44,10,8,19,34,2,22,8,2,16,40,2,125,2,14,1,3,9,27,3,6,15,20,5,23,35,14,2,15,4,21,4,6,13,34
"2",4,61,38,77,37,10,13,13,29,37,7,14,2,4,9,5,31,94,39,15,26,38,75,142,13,2,7,2,3,37,5,227,42,4,1116,6,43,16,13,26,17,48,27,39,20,17,31,6,14,34,22,61,17,34,4,6,11,19,2,38,39,12,2,38,5,8,45,11,9,19,34,3,23,9,3,17,41,3,126,3,15,2,4,10,28,4,7,16,21,5,24,36,15,3,16,5,22,5,7,14,35
"3",4,61,39,77,38,11,13,13,30,38,8,14,2,5,10,5,32,95,39,16,27,39,76,142,13,2,8,2,4,38,5,242,42,5,1187,7,43,16,14,27,18,49,27,40,20,18,31,6,14,34,22,62,18,34,5,6,12,20,2,39,40,13,2,39,5,9,46,11,9,20,35,4,23,9,4,18,41,3,127,3,16,2,4,11,28,5,8,16,22,6,25,37,16,4,16,5,22,5,7,15,37
"4",5,62,40,78,38,12,14,14,31,38,9,15,3,5,10,6,38,96,40,16,28,40,83,143,14,3,9,3,4,39,6,272,43,5,1335,8,44,17,14,27,18,50,28,41,21,19,32,7,15,35,23,62,19,35,6,7,13,21,3,40,41,14,3,40,6,9,46,12,10,21,36,4,24,10,4,19,42,4,135,4,16,3,5,11,29,5,9,17,23,7,26,38,17,4,17,6,23,6,8,15,40
"5",6,68,40,80,39,12,15,15,31,39,9,16,4,6,11,7,46,96,41,17,28,40,90,144,15,4,9,4,5,39,7,319,44,6,1570,8,45,18,15,28,19,50,29,46,22,19,33,8,16,36,24,63,19,36,6,8,13,21,4,40,41,14,4,40,7,10,47,13,11,21,36,5,25,11,5,19,43,5,144,5,17,4,6,12,30,6,9,18,23,7,26,38,17,5,18,7,24,7,9,16,44
"6",6,70,41,81,40,13,16,15,32,40,10,17,4,7,12,7,54,97,41,18,29,41,98,144,15,4,10,4,6,40,7,357,45,7,1754,9,46,18,16,29,20,51,29,48,23,20,34,8,17,37,24,64,20,36,7,9,14,22,4,41,42,15,4,41,7,11,48,14,11,22,37,6,26,11,6,20,43,5,152,5,18,4,6,13,31,7,10,18,24,8,27,39,18,6,18,7,25,7,10,17,47
