"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
"1",52,20,56,30,24,125,32,37,6,37,4,20,58,53,53,7,26,19,24,32,11,106,25,180,9,59,29,17,39,2,9,26,119,23,26,125,11,21,66,9,27,22,20,10,63,67,20,10,13,78,234,4,31,94,50,9,1,87,22,11,18,32,1,21,11,36,33,125,40,19,62,3,37,52,21,1,11,21,1,36,56,43,4,21,46,42,51,106,119,3,4,56,29,1,76,34,6,24,28,3,38
"2",53,21,57,31,25,125,33,37,7,38,5,20,59,54,54,7,26,20,25,32,12,107,25,181,9,60,30,18,39,3,9,27,121,23,27,127,11,22,67,9,28,22,21,11,64,68,20,10,14,79,243,5,32,94,51,10,2,88,23,12,18,33,2,22,12,37,34,126,41,20,63,4,38,53,21,2,11,21,2,37,57,44,4,22,46,43,51,108,120,4,5,57,29,2,77,34,7,25,29,4,39
"3",54,21,57,31,26,126,34,38,8,39,6,21,59,55,54,8,27,21,26,33,12,108,26,181,10,60,30,18,40,4,10,28,124,24,27,132,12,22,68,10,29,23,21,11,64,69,21,11,15,80,257,5,32,95,52,11,2,89,23,12,19,34,2,23,12,38,34,127,41,20,63,5,38,54,22,3,12,22,2,37,58,44,5,23,47,44,52,111,121,4,5,58,30,2,77,35,8,26,29,5,40
"4",55,22,58,32,27,127,35,39,9,39,6,22,60,55,55,9,28,21,26,34,13,116,27,186,11,61,31,19,41,4,11,28,132,25,28,140,13,23,68,11,29,24,22,12,65,72,22,12,16,86,285,6,33,102,52,12,3,96,24,13,20,35,3,24,13,38,35,128,42,21,64,6,39,55,23,4,13,23,3,38,58,45,6,23,48,44,53,119,129,5,6,59,31,3,81,36,9,26,30,5,42
"5",55,23,59,33,27,127,35,39,9,40,7,22,61,56,56,9,28,22,27,34,14,125,27,194,11,63,32,20,41,5,11,29,142,25,29,151,13,24,69,11,30,24,23,13,66,80,22,12,16,94,328,7,34,109,53,12,4,103,25,14,20,35,4,24,14,39,36,135,43,22,66,6,40,55,23,4,13,23,4,39,59,46,6,24,48,45,53,130,138,6,7,59,31,4,89,36,9,27,32,6,44
"6",56,23,59,34,28,128,36,40,10,41,8,23,61,57,57,10,29,23,28,35,15,133,28,198,12,64,33,21,42,6,12,30,149,26,29,159,14,24,70,12,31,25,23,13,66,84,23,13,17,101,362,7,35,116,54,13,4,110,25,14,21,36,4,25,14,40,37,138,43,22,67,7,40,56,24,5,14,24,4,39,60,46,7,25,49,46,54,137,146,7,7,60,32,4,92,37,10,28,33,7,45
