"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
"1",39,6,2,5,1,12,5,5,61,2,2,25,13,7,7,1,22,427,11,10,17,1,14,13,41,5,799,232,6,3,6,11,21,48,4,5,10,42,363,4,13,3,21,8,13,4,2,14,3,19,1,2,61,2,5,1,14,2,1,61,77,6,2,20,5,8,2,2,7,6,10,131,30,61,2,41,10,2,2,5,1,1,13,3,14,1,5,19,5,18,9,13,5,3,1,3,4,15,4,4,31
"2",40,6,3,6,2,13,6,6,62,3,3,26,14,7,8,2,22,431,12,11,18,2,15,14,42,6,947,233,7,4,7,12,21,49,4,5,11,43,365,5,14,4,21,9,14,5,3,15,4,20,2,3,62,3,6,2,15,3,2,62,78,7,3,21,6,8,3,3,7,7,10,132,31,62,3,42,11,3,3,6,2,2,14,4,15,2,6,20,6,19,9,14,5,4,2,4,5,16,5,5,34
"3",41,7,4,7,3,14,7,6,62,4,4,27,14,8,8,2,23,440,12,11,18,2,16,14,43,7,1270,234,8,4,7,13,22,49,5,6,11,44,372,5,14,5,22,9,14,6,4,15,5,21,2,3,62,4,7,2,15,4,2,62,78,8,3,22,7,9,4,3,8,8,11,132,31,62,3,43,11,4,4,6,3,3,14,4,15,2,7,21,7,20,10,14,6,5,2,5,5,16,5,5,38
"4",42,8,4,7,4,14,7,7,66,4,4,28,15,9,9,3,24,459,13,12,19,3,17,15,44,7,2184,241,8,5,8,13,23,50,6,7,12,44,384,6,15,5,23,10,15,7,4,16,6,21,3,4,66,4,7,3,16,4,3,66,79,8,4,22,8,10,4,4,9,8,12,133,32,66,4,44,12,4,4,7,4,4,15,5,16,3,7,21,7,21,11,15,7,5,3,5,6,17,6,6,48
"5",42,8,5,8,4,15,8,8,74,5,5,28,16,9,10,4,24,484,14,13,20,4,17,16,44,8,4556,248,9,6,9,14,23,51,6,7,13,45,400,7,16,6,23,11,16,7,5,17,6,22,4,5,74,5,8,4,17,5,4,74,80,9,5,23,8,10,5,5,9,9,12,134,33,74,5,44,13,5,5,8,4,4,16,6,17,4,8,22,8,21,11,16,7,6,4,6,7,18,7,7,73
"6",43,9,6,9,5,16,9,8,79,6,6,29,16,10,10,5,25,502,14,13,21,4,18,17,45,9,7560,255,10,6,10,15,24,51,7,8,14,46,411,7,17,7,24,11,16,8,6,18,7,23,4,6,79,6,9,4,18,6,4,79,81,10,5,24,9,11,6,5,10,10,13,135,33,79,5,45,13,6,6,9,5,5,16,6,18,4,9,23,9,22,12,16,8,7,4,7,7,18,7,7,104
