"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
"1",2,105,13,31,16,2,21,3,4,4,8,3,5,1,10,51,29,80,2,40,43,9,31,7,16,4,2,12,5,26,3,10,62,94,3,35,5,8,36,70,135,3,5,103,25,4,2,48,37,2,2,14,3,36,24,45,4,16,4,8,37,18,2,9,38,4,5,85,65,30,8,4,2,21,1,12,9,61,8,23,2,72,1,37,159,3,70,2,65,1,2,17,13,2,31,121,8,12,165,3,27
"2",3,106,13,32,17,3,22,3,5,4,9,4,6,2,11,52,30,81,3,41,44,10,32,7,17,5,3,13,6,27,4,11,63,96,4,36,6,9,37,71,146,4,5,106,26,5,3,49,38,3,3,15,4,37,24,46,4,17,4,8,38,19,3,10,39,5,6,86,66,31,8,5,3,22,2,13,9,62,8,24,3,72,2,38,168,4,71,3,65,2,3,18,14,3,32,123,9,13,166,4,28
"3",4,113,14,32,17,4,23,4,5,5,9,5,7,2,11,52,31,81,3,41,45,10,33,8,17,5,3,14,7,27,5,11,63,103,4,37,7,9,38,72,166,5,6,114,26,6,4,50,38,3,3,15,5,37,25,47,5,17,5,9,39,19,3,11,39,5,7,87,67,32,9,5,3,22,3,13,10,62,9,25,3,73,2,39,178,5,72,4,66,3,3,18,14,4,32,131,9,14,167,4,29
"4",4,121,15,33,18,5,23,5,6,6,10,5,7,3,12,53,32,82,4,42,46,11,33,9,18,6,4,14,7,28,5,12,64,110,5,38,7,10,39,73,211,5,7,127,27,7,4,57,39,4,4,16,5,38,26,47,6,18,6,10,39,20,4,12,40,6,7,87,74,33,10,6,4,23,3,14,11,69,10,26,4,74,3,39,199,5,72,4,73,4,4,19,15,4,33,145,10,15,168,5,31
"5",5,134,15,34,19,5,24,5,7,6,11,6,8,4,13,54,32,83,5,43,46,12,34,9,19,7,5,15,8,29,6,13,68,126,6,38,8,11,39,73,293,6,7,149,28,7,5,65,40,5,5,17,6,45,26,48,6,19,6,10,40,21,5,12,41,7,8,88,83,33,10,7,5,24,4,15,11,77,10,26,5,79,4,40,227,6,73,5,80,4,5,20,16,5,34,166,11,15,174,6,34
"6",6,144,16,35,20,6,25,6,7,7,12,7,9,4,13,54,33,84,5,43,47,12,35,10,19,8,5,16,9,29,7,13,69,137,6,39,9,11,40,74,371,7,8,166,28,8,6,73,40,5,5,17,7,48,27,49,7,20,7,11,41,22,5,13,42,7,9,89,91,34,11,7,5,25,5,15,12,84,11,27,5,81,4,41,251,7,74,6,88,5,5,21,16,6,35,183,12,16,177,7,36
