"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
"1",50,30,18,75,1,2,4,29,2,1,11,17,4,38,56,6,7,24,3,21,13,6,4,2,2,15,6,2,2,56,3,7,26,19,13,6,54,75,19,26,8,6,58,5,17,48,1,25,4,3,21,21,19,2,19,6,11,13,1,58,172,22,2,18,30,16,27,28,4,21,21,2,37,3,223,46,3,1,36,18,2,96,1,9,3,71,9,104,6,34,31,8,47,13,6,8,7,94,3,47,24
"2",51,30,19,76,2,3,5,29,3,2,11,18,5,38,57,7,8,25,4,22,14,6,5,3,3,16,7,3,3,57,4,8,27,20,14,7,55,76,19,27,8,7,59,6,17,49,2,26,5,4,22,22,20,3,20,7,12,14,2,59,180,22,3,19,31,16,28,29,5,21,21,3,38,4,224,47,4,2,37,19,3,98,2,9,4,80,10,105,7,35,32,9,47,14,7,9,7,96,4,48,25
"3",52,31,20,77,3,4,5,30,4,2,12,19,5,39,57,8,9,26,4,23,14,7,5,3,4,17,8,4,4,58,4,9,28,21,14,8,56,77,20,28,9,8,59,7,18,50,2,26,5,5,23,23,21,4,20,7,13,15,2,59,188,23,3,20,31,17,28,30,6,22,22,4,38,5,224,47,4,2,38,20,3,104,2,10,4,95,11,106,8,35,32,10,48,15,8,10,8,103,4,48,26
"4",52,32,20,84,4,4,6,31,4,3,13,19,6,40,58,9,9,27,5,24,15,8,6,4,4,17,8,5,4,58,5,10,34,22,15,9,57,84,21,34,10,8,60,7,19,50,3,27,6,5,23,24,22,4,21,8,14,15,3,60,203,24,4,20,32,18,29,30,6,23,23,4,39,6,225,48,5,3,38,21,4,112,3,11,5,110,12,106,8,36,33,10,49,15,9,11,9,113,5,55,28
"5",53,32,21,91,4,5,7,31,5,4,13,20,7,40,59,9,10,27,6,24,16,8,7,5,5,18,9,5,5,60,6,10,42,22,16,9,58,91,21,42,10,9,66,8,19,53,4,28,7,6,24,24,22,5,22,9,14,16,4,66,218,24,5,21,33,18,30,32,7,23,23,5,40,6,231,54,6,4,40,21,5,127,4,11,6,124,12,107,9,42,34,11,50,16,9,11,9,129,6,63,30
"6",54,33,22,99,5,6,8,32,6,4,14,21,7,41,59,10,11,28,6,25,17,9,7,5,6,19,10,6,6,61,6,11,50,23,17,10,59,99,22,50,11,10,67,9,20,54,4,28,7,7,25,25,23,6,23,9,15,17,4,67,233,25,5,22,34,19,30,33,8,24,24,6,40,7,232,55,6,4,41,22,6,138,4,12,6,143,13,108,10,44,35,12,51,17,10,12,10,142,6,70,31
