"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
"1",26,100,7,96,9,37,18,12,7,18,29,26,7,147,1,1,12,44,42,6,1,16,10,3,2,1,1,24,8,26,7,6,19,17,18,95,53,1,1,12,3,2,19,3,1,30,1,2,9,6,11,30,13,8,35,6,12,7,7,19,445,2,3,27,3,1,1,1,2,17,2,2,8,8,15,2,15,53,49,54,1,125,23,14,16,11,12,11,15,5,56,8,8,4,5,5,1,53,8,60,23
"2",27,103,8,98,9,38,19,13,8,18,30,26,8,148,2,2,12,45,42,7,2,17,11,4,3,2,2,25,9,27,7,7,20,18,19,97,53,2,2,13,4,3,20,4,2,31,2,3,10,7,12,30,14,9,36,7,12,7,8,20,445,3,4,28,4,2,2,2,3,18,3,3,9,9,16,3,16,54,50,54,2,134,24,15,16,12,13,12,15,6,57,8,9,5,6,6,2,53,8,61,24
"3",27,110,8,105,10,39,19,14,8,19,31,27,8,149,2,3,13,46,43,8,2,18,12,4,3,3,2,26,9,27,8,8,20,19,19,104,54,2,2,14,5,4,20,4,2,32,2,4,11,8,13,31,14,9,37,8,13,8,8,20,446,3,4,28,5,2,2,3,4,18,4,4,9,9,17,3,16,54,51,55,2,143,24,16,17,12,14,12,16,7,58,9,9,6,6,6,2,54,9,61,25
"4",28,124,9,119,11,39,20,15,9,20,32,28,9,150,3,4,14,47,44,8,3,19,12,5,4,4,3,26,10,28,9,9,21,20,20,118,55,3,3,15,5,4,21,5,3,32,3,4,11,9,14,32,15,10,37,8,14,9,9,21,447,4,5,29,5,3,3,4,4,19,4,4,10,10,17,4,17,55,51,56,3,164,25,17,18,13,15,13,17,8,62,10,10,7,7,7,3,58,10,62,27
"5",29,144,10,139,11,40,21,15,10,20,32,28,10,150,4,4,14,47,46,9,4,19,13,6,5,4,4,27,11,29,9,9,22,20,21,138,59,4,4,15,6,5,22,6,4,33,4,5,12,9,14,32,16,11,38,9,14,9,10,22,447,5,6,35,6,4,4,4,5,20,5,5,11,11,18,5,18,61,59,57,4,193,26,17,18,14,15,14,17,8,69,10,11,7,8,8,4,65,10,68,29
"6",30,161,10,155,12,41,21,16,11,21,33,29,10,151,4,5,15,48,47,10,4,20,14,7,5,5,4,28,11,29,10,10,23,21,21,153,60,4,4,16,7,6,23,6,4,34,4,6,13,10,15,33,17,12,39,10,15,10,10,23,448,5,6,37,7,4,4,5,6,20,6,6,12,11,19,5,19,61,62,58,4,217,26,18,19,14,16,14,18,9,76,11,12,8,8,9,4,71,11,69,30
