"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
"1",60,18,7,60,6,9,1,1,2,11,37,7,8,27,2,2,5,401,6,2,3,7,8,12,149,8,5,22,10,25,2,8,21,8,11,6,21,23,5,14,1,1,764,18,1,13,5,6,5,5,14,24,7,6,50,9,11,1,7,21,2058,8,1,3,10,20,1,1,5,8,17,8,8,8,3,34,93,3,5,17,2,6,20,16,2,27,2,1,1,21,1,28,1,1,7,14,6,6,3,8,45
"2",61,19,8,61,7,10,2,2,3,12,38,8,9,28,3,3,6,402,7,3,4,7,9,13,150,8,6,23,10,26,3,9,22,9,12,7,21,24,5,15,2,2,781,19,2,14,6,6,6,6,15,25,8,6,51,10,12,2,8,22,3305,9,2,4,11,21,2,2,6,8,18,9,9,8,4,35,94,4,6,18,3,7,21,17,3,28,3,2,2,22,2,29,2,2,8,15,7,7,4,9,58
"3",61,19,9,61,8,10,2,2,4,12,39,8,10,29,4,3,7,410,8,3,5,8,10,13,150,9,6,24,11,26,3,10,23,9,12,8,22,24,6,16,2,2,808,19,2,14,7,7,7,6,16,26,9,7,51,11,12,2,9,23,5318,10,2,5,12,22,2,2,7,9,18,9,10,9,5,36,94,4,7,19,3,8,21,17,4,28,4,2,2,22,3,30,2,2,9,16,8,7,4,10,79
"4",68,20,9,68,8,11,3,3,5,13,45,9,10,29,5,4,7,424,8,4,5,9,11,14,154,10,7,24,12,27,4,10,23,10,13,8,23,25,7,16,3,3,865,20,3,15,7,8,7,7,16,26,9,8,55,12,13,3,9,23,8596,10,3,5,13,22,3,3,7,10,19,10,10,10,6,37,95,5,7,19,4,8,22,18,4,29,4,3,3,23,4,30,3,3,9,16,8,8,5,10,114
"5",76,21,10,76,9,12,4,4,5,14,53,10,11,30,5,5,8,440,9,5,6,9,11,15,162,10,8,25,12,28,5,11,24,11,14,9,23,26,7,17,4,4,947,21,4,16,8,8,8,8,17,27,10,8,63,12,14,4,10,24,13911,11,4,6,13,23,4,4,8,10,20,11,11,10,6,37,96,6,8,20,5,9,23,19,5,30,5,4,4,24,4,31,4,4,10,17,9,9,6,11,169
"6",84,21,11,84,10,13,4,4,6,14,61,11,12,31,6,5,9,454,10,6,7,10,12,16,165,11,8,26,13,29,5,12,25,11,15,10,24,27,8,18,4,4,1009,22,4,17,9,9,9,9,18,28,11,9,67,13,14,4,11,25,22229,12,4,7,14,24,4,4,9,11,20,11,12,11,7,38,97,7,9,21,5,10,23,20,6,31,6,4,4,25,5,32,4,4,11,18,10,9,7,12,254
