"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
"1",9,7,1,12,8,4,11,10,1,3,1,3,2,13,2,7,5,253,4,19,7,5,17,4,13,6,9,5,52,3,1,2,1,11,10,4,4,225,22,4,10,14,5,9,8,1,12,1,11,32,1,2,1,14,13,30,9,14,27,1,26,9,1,38,531,31,4,7,13,30,3,2,9,15,4,21,19,14,23,1,11,31,16,2,5,5,26,18,18,24,39,5,5,3,14,5,4,5,13,5,21
"2",10,7,2,13,9,5,12,11,2,4,2,4,3,14,3,8,6,253,5,19,7,6,18,5,14,7,10,5,53,4,2,3,2,11,10,5,5,226,22,4,10,14,6,10,9,2,13,2,12,33,2,3,2,14,14,31,10,15,28,2,27,10,2,39,540,32,5,8,14,31,4,3,10,16,5,22,19,14,23,2,12,32,16,3,6,5,27,19,19,25,39,6,6,4,15,6,5,6,14,6,21
"3",10,8,2,14,10,6,12,12,2,5,2,4,3,14,4,9,7,254,6,20,8,7,19,5,14,7,11,6,54,4,2,4,3,12,11,6,5,226,23,5,11,15,7,10,9,3,14,2,13,34,2,4,2,15,14,31,10,16,28,2,27,10,2,40,560,33,5,8,14,31,5,4,10,17,5,23,20,15,24,2,12,32,17,4,7,6,27,19,20,25,40,7,7,4,15,7,5,7,14,7,22
"4",11,9,3,14,10,7,13,13,3,5,3,5,4,15,4,9,7,258,7,21,9,7,19,6,15,8,11,7,54,5,3,4,4,13,12,6,6,227,24,6,12,16,7,11,10,4,14,3,14,35,3,4,3,16,15,32,11,16,29,3,28,11,3,41,597,33,6,9,15,32,5,5,11,18,6,24,21,16,25,3,13,33,18,5,7,7,28,20,21,26,41,7,7,5,16,7,6,7,15,7,23
"5",12,9,4,15,11,7,14,13,4,6,4,6,5,16,5,10,8,265,7,21,9,8,20,7,16,9,12,7,55,6,4,5,4,13,12,7,7,228,24,6,12,16,8,12,11,4,15,4,14,35,4,5,4,16,16,33,12,17,30,4,29,12,4,41,651,34,7,10,16,33,6,5,12,18,7,24,21,16,25,4,14,34,18,5,8,7,29,21,21,27,41,8,8,6,17,8,7,8,16,8,25
"6",13,10,4,16,12,8,15,14,4,7,4,6,5,16,6,11,9,268,8,22,10,9,21,7,17,9,13,8,56,6,4,6,5,14,13,8,8,229,25,7,13,17,9,13,11,5,16,5,15,36,4,6,4,17,16,33,13,18,30,4,30,13,4,42,691,35,7,11,17,34,7,6,13,19,7,25,22,17,26,4,15,34,19,6,9,8,30,21,22,28,42,9,9,6,18,9,7,9,17,9,26
